identifier	source	date	size	status	md5	sha1	sha256	sha384	sha512
NA	NA	2022-05-11T04:35:14Z	NA	404	NA	NA	NA	NA	NA
hash://sha256/3438efbd1fbc3513dd6bebe2cd474f59f8db0009bd6cda290190f5b5364ee6b0	_targets/user/data_raw/1-s2.0-S1055790316302287-mmc2.xlsx	2022-05-27T05:30:47Z	435565	200	NA	NA	hash://sha256/3438efbd1fbc3513dd6bebe2cd474f59f8db0009bd6cda290190f5b5364ee6b0	NA	NA
hash://sha256/5bef560a9c02e1fb99ea15f008ea371de49fef0d29a4528d48ebcca4dad9cfc0	_targets/user/data_raw/44201appS1.xlsx	2022-05-27T06:26:11Z	43621	200	NA	NA	hash://sha256/5bef560a9c02e1fb99ea15f008ea371de49fef0d29a4528d48ebcca4dad9cfc0	NA	NA
