query,match,comments
Athyrium newtonii Baker,Athyrium newtonii (Baker) Diels,NA
"Athyrium oppositipennum var. pubescens (Tagawa) Yea C.Liu, W.L.Chiou & H.Y.Liu","Athyrium oppositipennum var. pubescens (Tagawa) Y.C.Liu, W.L.Chiou & H.Y.Liu",NA
Athyrium rhachidosorum (Hand.-Mazz.) Ching,Athyrium rhachidisorum (Hand.-Mazz.) Ching,NA
Azolla nilotica Decne.,Azolla nilotica Dcne.,NA
Blechnum vieillardii var. simplex Fourn.,Blechnum vieillardii var. simplex E.Fourn.,NA
Blechnum x caudatum Cav.,Blechnum caudatum Cav.,NA
Blechnum x confluens Schltdl. & Cham.,Blechnum confluens Schltdl. & Cham.,NA
Bolbitis gemmifera (Hieron.) C.Chr.,Bolbitis gemmifer (Hieron.) C.Chr.,NA
Bommeria pedata (Sw.) E.Fourn.,Bommeria pedata (Sw.) Fourn.,NA
Bosmania membranacea subsp. carinata (W.M.Chu & Z.R.He) R.Wei & X.C.Zhang,Bosmania membranacea (D.Don) Testo,NA
Botrychium hesperium (Maxon & R.T.Clausen) W.H.Wagner & Lellinger,Botrychium × hesperium (Maxon & R.T.Clausen) W.H.Wagner & Lellinger,NA
Botrychium lunaria var. lunaria,Botrychium lunaria var. lunaria,NA
Botrychium watertonense W.H.Wagner,Botrychium × watertonense W.H.Wagner,NA
Campyloneurum wurdackii B.Leon,Campyloneurum wurdackii León,NA
Ceradenia ayapoyana M.Kessler & A.R.Sm.,Ceradenia ayopayana M.Kessler & A.R.Sm.,NA
Ceradenia madidiense M.Kessler & A.R.Sm.,Ceradenia madidiensis M.Kessler & A.R.Sm.,NA
Cheilanthes squamosa Gillies & Hook. ex Grev.,Cheilanthes squamosa Gillies ex Hook. & Grev.,NA
Christella conspersa (Schrad.) i.Love & D.Love,Christella conspersa (Schrad.) Á.Löve & D.Löve,NA
Christella procurrens (Mett.) Copel.,Cyclosorus procurrens (Mett.) Copel.,NA
Coniogramme longissima Ching & H.S.Kung,Coniogramme longissima Ching & Kung,NA
Coniogramme rosthornii Hieron.,Coniogramme rosthorni Hieron.,NA
