query,match,comments
Dryopteris glandulosolanosa C. Chr.,Dryopteris glandulosa-lanosa C.Chr.,spelling mistake in species name
Heterogonium subglabrum Holttum,Heterogonium subglabratum Holttum,spelling mistake in species name
Melpomene michaelis Lehnert,Melpomene michaelium Lehnert,spelling mistake in species name
Notholaena montieliae Yatsk. & Arbelaez,Notholaena montielae Yatsk. & Arbeláez,spelling mistake in species name
Pecluma ptilotos (Kunze) M.G.Price,Pecluma ptilota (Kunze) M.G.Price,spelling mistake in species name
Pteris ottaria Bedd.,Pteris otaria Bedd.,spelling mistake in species name
Terpsichore asplenifolia (L.) A.R.Sm.,Terpsichore aspleniifolia (L.) A.R.Sm.,spelling mistake in species name
Trichomanes osmundoides DC. ex Poir.,Trichomanes osmundioides DC. ex Poir.,spelling mistake in species name
Cibotium regale Verschaff. ex Regel,Cibotium regale Verschaff. & Lem.,author variant
Cyathea holdridgeana Nisman & L.Gomez,Cyathea holdridgeana Nisman & M.Gómez,author variant
Davallia epiphylla (G.Forst.) Sw.,Davallia epiphylla (G.Forst.) Spreng.,author variant
Grammitis grisebachii (Underw. ex C.Chr.) Proctor,Grammitis grisebachii (Underw. ex C.Chr.) Copel.,author variant
Dryopteris insularis var. chichisimensis (Nakai ex H.Ito) H.Ito,Dryopteris insularis subsp. chichishimensis (Nakai ex H.Itô) H.Itô,spelling and author variant
Whittieria hengduanensis,Whittieria hengduanensis Z.L.Liang & Li Bing Zhang,NA
Whittieria hengduanensis Z.L.Liang & Li Bing Zhang,Whittieria hengduanensis Z.L.Liang & Li Bing Zhang,NA
